id,attr_time,,attr_x,attr_y,attr_z
335,1.54718E+12,2018-01-11 14:52:11,-0.334396,3.10645,8.86456
336,1.54718E+12,2018-01-11 14:52:11,-0.3069,3.08415,8.69751
337,1.54718E+12,2018-01-11 14:52:11,-0.306458,3.11728,8.72919
338,1.54718E+12,2018-01-11 14:52:11,-0.35527,3.10289,8.79189
339,1.54718E+12,2018-01-11 14:52:11,-0.416977,3.11761,8.79593
340,1.54718E+12,2018-01-11 14:52:11,-0.400314,3.12204,8.81259
341,1.54718E+12,2018-01-11 14:52:11,-0.325607,3.12204,8.88728
342,1.54718E+12,2018-01-11 14:52:11,-0.325607,3.12204,8.89777
343,1.54718E+12,2018-01-11 14:52:11,-0.294754,3.1992,8.72124
344,1.54718E+12,2018-01-11 14:52:11,-0.289749,3.19377,8.62766
345,1.54718E+12,2018-01-11 14:52:11,-0.338074,3.12825,8.79056
346,1.54718E+12,2018-01-11 14:52:11,-0.352737,3.10759,8.93532
347,1.54718E+12,2018-01-11 14:52:11,-0.312439,3.0999,9.08006
348,1.54718E+12,2018-01-11 14:52:11,-0.206726,3.11606,9.21216
349,1.54718E+12,2018-01-11 14:52:11,-0.172379,3.02296,8.82553
350,1.54718E+12,2018-01-11 14:52:11,-0.362885,3.21159,8.67297
351,1.54718E+12,2018-01-11 14:52:11,-0.309784,3.38792,9.06427
352,1.54718E+12,2018-01-11 14:52:11,-0.0931244,3.31364,8.42245
353,1.54718E+12,2018-01-11 14:52:11,0.11528,3.19095,7.90651
354,1.54718E+12,2018-01-11 14:52:11,0.0397644,3.1795,8.13823
